data,≥80 anni,altri
2020-02-24,1.0,1
2020-02-25,0.0,4
2020-02-26,0.0,1
2020-02-27,0.0,2
2020-02-28,0.0,1
2020-02-29,0.0,1
2020-03-01,0.0,4
2020-03-02,0.0,7
2020-03-03,1.0,10
2020-03-04,0.0,10
2020-03-05,0.0,16
2020-03-06,2.0,25
2020-03-07,2.0,20
2020-03-08,2.0,24
2020-03-09,3.0,38
2020-03-10,2.0,49
2020-03-11,4.0,30
2020-03-12,2.0,39
2020-03-13,4.0,60
2020-03-14,5.0,36
2020-03-15,3.0,56
2020-03-16,7.0,55
2020-03-17,6.0,51
2020-03-18,7.0,57
2020-03-19,6.0,61
2020-03-20,2.0,48
2020-03-21,7.0,54
2020-03-22,4.0,40
2020-03-23,5.0,37
2020-03-24,5.0,28
2020-03-25,4.0,31
2020-03-26,3.0,27
2020-03-27,9.0,28
2020-03-28,2.0,20
2020-03-29,4.0,10
2020-03-30,3.0,16
2020-03-31,1.0,16
2020-04-01,2.0,13
2020-04-02,3.0,8
2020-04-03,1.0,8
2020-04-04,7.0,8
2020-04-05,2.0,5
2020-04-06,3.0,6
2020-04-07,0.0,5
2020-04-08,0.0,7
2020-04-09,0.0,2
2020-04-10,0.0,4
2020-04-11,0.0,2
2020-04-12,0.0,3
2020-04-13,1.0,0
2020-04-14,2.0,1
2020-04-15,0.0,4
2020-04-16,0.0,3
2020-04-17,0.0,2
2020-04-18,0.0,2
2020-04-19,0.0,0
2020-04-20,0.0,1
2020-04-21,0.0,2
2020-04-22,0.0,2
2020-04-23,0.0,0
2020-04-24,1.0,4
2020-04-25,2.0,2
2020-04-26,0.0,1
2020-04-27,0.0,1
2020-04-28,0.0,2
2020-04-29,0.0,1
2020-04-30,0.0,0
2020-05-01,0.0,6
2020-05-02,0.0,0
2020-05-03,0.0,1
2020-05-04,0.0,1
2020-05-05,0.0,2
2020-05-06,0.0,2
2020-05-07,0.0,0
2020-05-08,1.0,2
2020-05-09,0.0,1
2020-05-10,0.0,0
2020-05-11,1.0,4
2020-05-12,0.0,1
2020-05-13,0.0,1
2020-05-14,0.0,0
2020-05-15,0.0,0
2020-05-16,0.0,0
2020-05-17,1.0,1
2020-05-18,1.0,2
2020-05-19,0.0,0
2020-05-20,0.0,0
2020-05-21,0.0,0
2020-05-22,0.0,0
2020-05-23,0.0,0
2020-05-24,0.0,0
2020-05-25,0.0,0
2020-05-26,0.0,0
2020-05-27,0.0,0
2020-05-28,0.0,0
2020-05-29,0.0,0
2020-05-30,0.0,0
2020-05-31,0.0,0
2020-06-01,0.0,0
2020-06-02,0.0,0
2020-06-03,0.0,0
2020-06-04,0.0,0
2020-06-05,0.0,0
2020-06-06,0.0,0
2020-06-07,0.0,0
2020-06-08,0.0,0
2020-06-09,0.0,0
2020-06-10,0.0,0
2020-06-11,0.0,0
2020-06-12,0.0,0
2020-06-13,0.0,0
2020-06-14,0.0,0
2020-06-15,0.0,1
2020-06-16,0.0,1
2020-06-17,0.0,0
2020-06-18,0.0,0
2020-06-19,0.0,0
2020-06-20,0.0,1
2020-06-21,0.0,1
2020-06-22,0.0,0
2020-06-23,0.0,1
2020-06-24,0.0,0
2020-06-25,0.0,0
2020-06-26,0.0,0
2020-06-27,0.0,0
2020-06-28,0.0,0
2020-06-29,0.0,0
2020-06-30,0.0,0
2020-07-01,1.0,1
2020-07-02,0.0,0
2020-07-03,0.0,0
2020-07-04,0.0,1
2020-07-05,0.0,0
2020-07-06,0.0,0
2020-07-07,0.0,0
2020-07-08,0.0,0
2020-07-09,0.0,0
2020-07-10,0.0,0
2020-07-11,0.0,0
2020-07-12,0.0,0
2020-07-13,0.0,2
2020-07-14,0.0,3
2020-07-15,0.0,0
2020-07-16,0.0,1
2020-07-17,0.0,0
2020-07-18,0.0,1
2020-07-19,0.0,1
2020-07-20,1.0,1
2020-07-21,0.0,1
2020-07-22,0.0,1
2020-07-23,0.0,0
2020-07-24,0.0,1
2020-07-25,0.0,0
2020-07-26,0.0,1
2020-07-27,0.0,0
2020-07-28,0.0,1
2020-07-29,0.0,1
2020-07-30,0.0,2
2020-07-31,0.0,2
2020-08-01,0.0,2
2020-08-02,0.0,1
2020-08-03,0.0,4
2020-08-04,0.0,4
2020-08-05,0.0,6
2020-08-06,0.0,1
2020-08-07,0.0,1
2020-08-08,0.0,4
2020-08-09,0.0,2
2020-08-10,0.0,8
2020-08-11,0.0,8
2020-08-12,0.0,8
2020-08-13,0.0,7
2020-08-14,0.0,7
2020-08-15,0.0,4
2020-08-16,0.0,4
2020-08-17,0.0,7
2020-08-18,0.0,14
2020-08-19,0.0,6
2020-08-20,0.0,7
2020-08-21,0.0,10
2020-08-22,0.0,14
2020-08-23,0.0,10
2020-08-24,0.0,12
2020-08-25,1.0,6
2020-08-26,0.0,9
2020-08-27,0.0,7
2020-08-28,0.0,5
2020-08-29,0.0,8
2020-08-30,0.0,2
2020-08-31,0.0,10
2020-09-01,0.0,11
2020-09-02,0.0,11
2020-09-03,1.0,14
2020-09-04,0.0,8
2020-09-05,0.0,9
2020-09-06,1.0,5
2020-09-07,1.0,14
2020-09-08,3.0,16
2020-09-09,1.0,9
2020-09-10,0.0,13
2020-09-11,0.0,7
2020-09-12,2.0,4
2020-09-13,0.0,16
2020-09-14,0.0,12
2020-09-15,0.0,9
2020-09-16,2.0,9
2020-09-17,1.0,12
2020-09-18,0.0,8
2020-09-19,1.0,8
2020-09-20,0.0,15
2020-09-21,1.0,16
2020-09-22,0.0,12
2020-09-23,4.0,16
2020-09-24,0.0,15
2020-09-25,1.0,16
2020-09-26,0.0,21
2020-09-27,0.0,26
2020-09-28,1.0,24
2020-09-29,1.0,28
2020-09-30,1.0,38
2020-10-01,5.0,40
2020-10-02,3.0,42
2020-10-03,4.0,40
2020-10-04,1.0,47
2020-10-05,0.0,69
2020-10-06,3.0,88
2020-10-07,5.0,84
2020-10-08,7.0,99
2020-10-09,8.0,100
2020-10-10,9.0,139
2020-10-11,7.0,107
2020-10-12,11.0,128
2020-10-13,10.0,126
2020-10-14,8.0,156
2020-10-15,11.0,131
2020-10-16,20.0,167
2020-10-17,19.0,181
2020-10-18,15.0,190
2020-10-19,18.0,239
2020-10-20,29.0,242
