data,casi,casi_media7gg
2020-02-20,1,
2020-02-21,2,
2020-02-22,2,
2020-02-23,2,3.857142857142857
2020-02-24,5,4.857142857142857
2020-02-25,6,5.571428571428571
2020-02-26,9,6.857142857142857
2020-02-27,8,8.142857142857142
2020-02-28,7,9.571428571428571
2020-02-29,11,11.571428571428571
2020-03-01,11,13.0
2020-03-02,15,16.0
2020-03-03,20,19.571428571428573
2020-03-04,19,22.571428571428573
2020-03-05,29,25.857142857142858
2020-03-06,32,29.0
2020-03-07,32,34.42857142857143
2020-03-08,34,39.285714285714285
2020-03-09,37,46.57142857142857
2020-03-10,58,55.57142857142857
2020-03-11,53,61.714285714285715
2020-03-12,80,69.28571428571429
2020-03-13,95,83.57142857142857
2020-03-14,75,95.0
2020-03-15,87,106.71428571428571
2020-03-16,137,117.0
2020-03-17,138,132.57142857142858
2020-03-18,135,144.42857142857142
2020-03-19,152,150.57142857142858
2020-03-20,204,151.85714285714286
2020-03-21,158,150.71428571428572
2020-03-22,130,152.0
2020-03-23,146,145.0
2020-03-24,130,128.28571428571428
2020-03-25,144,118.71428571428571
2020-03-26,103,114.57142857142857
2020-03-27,87,108.28571428571429
2020-03-28,91,105.42857142857143
2020-03-29,101,95.57142857142857
2020-03-30,102,92.71428571428571
2020-03-31,110,90.28571428571429
2020-04-01,75,88.14285714285714
2020-04-02,83,83.0
2020-04-03,70,78.28571428571429
2020-04-04,76,72.14285714285714
2020-04-05,65,72.42857142857143
2020-04-06,69,69.0
2020-04-07,67,66.0
2020-04-08,77,60.0
2020-04-09,59,56.714285714285715
2020-04-10,49,52.142857142857146
2020-04-11,34,50.57142857142857
2020-04-12,42,48.42857142857143
2020-04-13,37,44.42857142857143
2020-04-14,56,42.857142857142854
2020-04-15,62,44.0
2020-04-16,31,42.0
2020-04-17,38,41.42857142857143
2020-04-18,42,37.857142857142854
2020-04-19,28,33.285714285714285
2020-04-20,33,34.714285714285715
2020-04-21,31,34.42857142857143
2020-04-22,30,32.57142857142857
2020-04-23,41,32.42857142857143
2020-04-24,36,31.142857142857142
2020-04-25,29,30.0
2020-04-26,27,29.0
2020-04-27,24,26.428571428571427
2020-04-28,23,22.714285714285715
2020-04-29,23,20.142857142857142
2020-04-30,23,18.285714285714285
2020-05-01,10,17.142857142857142
2020-05-02,11,15.714285714285714
2020-05-03,14,14.714285714285714
2020-05-04,16,14.285714285714286
2020-05-05,13,15.285714285714286
2020-05-06,16,14.857142857142858
2020-05-07,20,13.142857142857142
2020-05-08,17,11.714285714285714
2020-05-09,8,11.571428571428571
2020-05-10,2,10.285714285714286
2020-05-11,6,8.714285714285714
2020-05-12,12,8.0
2020-05-13,7,7.428571428571429
2020-05-14,9,7.714285714285714
2020-05-15,12,8.428571428571429
2020-05-16,4,7.857142857142857
2020-05-17,4,7.285714285714286
2020-05-18,11,7.142857142857143
2020-05-19,8,6.285714285714286
2020-05-20,3,6.571428571428571
2020-05-21,8,6.571428571428571
2020-05-22,6,6.142857142857143
2020-05-23,6,6.285714285714286
2020-05-24,4,6.571428571428571
2020-05-25,8,5.714285714285714
2020-05-26,9,5.285714285714286
2020-05-27,5,5.571428571428571
2020-05-28,2,5.285714285714286
2020-05-29,3,5.142857142857143
2020-05-30,8,4.714285714285714
2020-05-31,2,5.142857142857143
2020-06-01,7,5.714285714285714
2020-06-02,6,5.714285714285714
2020-06-03,8,5.142857142857143
2020-06-04,6,5.285714285714286
2020-06-05,3,5.0
2020-06-06,4,4.428571428571429
2020-06-07,3,3.857142857142857
2020-06-08,5,3.0
2020-06-09,2,2.7142857142857144
2020-06-10,4,2.5714285714285716
2020-06-11,0,2.4285714285714284
2020-06-12,1,1.8571428571428572
2020-06-13,3,2.4285714285714284
2020-06-14,2,2.142857142857143
2020-06-15,1,2.5714285714285716
2020-06-16,6,2.857142857142857
2020-06-17,2,3.0
2020-06-18,3,3.2857142857142856
2020-06-19,3,3.7142857142857144
2020-06-20,4,3.0
2020-06-21,4,2.857142857142857
2020-06-22,4,2.857142857142857
2020-06-23,1,2.857142857142857
2020-06-24,1,2.857142857142857
2020-06-25,3,2.5714285714285716
2020-06-26,3,2.5714285714285716
2020-06-27,4,2.857142857142857
2020-06-28,2,2.857142857142857
2020-06-29,4,2.4285714285714284
2020-06-30,3,2.5714285714285716
2020-07-01,1,2.2857142857142856
2020-07-02,0,2.5714285714285716
2020-07-03,4,2.2857142857142856
2020-07-04,2,2.0
2020-07-05,4,2.142857142857143
2020-07-06,2,2.2857142857142856
2020-07-07,1,1.7142857142857142
2020-07-08,2,1.5714285714285714
2020-07-09,1,1.4285714285714286
2020-07-10,0,1.5714285714285714
2020-07-11,1,1.4285714285714286
2020-07-12,3,1.7142857142857142
2020-07-13,3,1.8571428571428572
2020-07-14,0,2.0
2020-07-15,4,2.4285714285714284
2020-07-16,2,2.0
2020-07-17,1,3.0
2020-07-18,4,3.5714285714285716
2020-07-19,0,3.5714285714285716
2020-07-20,10,3.4285714285714284
2020-07-21,4,3.857142857142857
2020-07-22,4,3.4285714285714284
2020-07-23,1,3.7142857142857144
2020-07-24,4,2.5714285714285716
2020-07-25,1,2.142857142857143
2020-07-26,2,1.8571428571428572
2020-07-27,2,1.8571428571428572
2020-07-28,1,1.2857142857142858
2020-07-29,2,1.2857142857142858
2020-07-30,1,1.1428571428571428
2020-07-31,0,1.0
2020-08-01,1,1.1428571428571428
2020-08-02,1,1.2857142857142858
2020-08-03,1,1.4285714285714286
2020-08-04,2,1.7142857142857142
2020-08-05,3,1.5714285714285714
2020-08-06,2,2.0
2020-08-07,2,1.8571428571428572
2020-08-08,0,2.142857142857143
2020-08-09,4,2.2857142857142856
2020-08-10,0,2.4285714285714284
2020-08-11,4,2.4285714285714284
2020-08-12,4,2.5714285714285716
2020-08-13,3,2.4285714285714284
2020-08-14,2,2.5714285714285716
2020-08-15,1,2.2857142857142856
2020-08-16,3,2.5714285714285716
2020-08-17,1,2.142857142857143
2020-08-18,2,2.2857142857142856
2020-08-19,6,2.2857142857142856
2020-08-20,0,2.5714285714285716
2020-08-21,3,3.5714285714285716
2020-08-22,1,3.857142857142857
2020-08-23,5,4.0
2020-08-24,8,5.571428571428571
2020-08-25,4,6.0
2020-08-26,7,6.285714285714286
2020-08-27,11,6.571428571428571
2020-08-28,6,7.0
2020-08-29,3,7.571428571428571
2020-08-30,7,7.571428571428571
2020-08-31,11,7.571428571428571
2020-09-01,8,7.857142857142857
2020-09-02,7,9.142857142857142
2020-09-03,11,9.714285714285714
2020-09-04,8,11.0
2020-09-05,12,11.285714285714286
2020-09-06,11,12.0
2020-09-07,20,12.571428571428571
2020-09-08,10,14.0
2020-09-09,12,13.857142857142858
2020-09-10,15,15.285714285714286
2020-09-11,18,15.428571428571429
2020-09-12,11,17.0
2020-09-13,21,18.142857142857142
2020-09-14,21,20.142857142857142
2020-09-15,21,21.142857142857142
2020-09-16,20,22.428571428571427
