data,0-9 anni,10-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2020-02-20,,,,,,,,,,
2020-02-21,,,,,,,,,,
2020-02-22,,,,,,,,,,
2020-02-23,0.14285714285714285,0.0,0.2857142857142857,0.0,0.5714285714285714,0.7142857142857143,0.0,0.5714285714285714,0.42857142857142855,0.14285714285714285
2020-02-24,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.2857142857142857,1.4285714285714286,0.7142857142857143,0.2857142857142857
2020-02-25,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857,1.5714285714285714,1.0,0.2857142857142857
2020-02-26,0.14285714285714285,0.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857,1.5714285714285714,1.0,0.2857142857142857
2020-02-27,0.14285714285714285,0.0,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.5714285714285714,2.0,1.2857142857142858,0.5714285714285714
2020-02-28,0.14285714285714285,0.0,0.8571428571428571,0.42857142857142855,1.2857142857142858,1.1428571428571428,1.1428571428571428,3.142857142857143,1.2857142857142858,0.5714285714285714
2020-02-29,0.14285714285714285,0.0,1.1428571428571428,0.42857142857142855,1.8571428571428572,2.0,2.4285714285714284,4.285714285714286,1.8571428571428572,0.7142857142857143
2020-03-01,0.0,0.0,1.1428571428571428,0.42857142857142855,2.0,3.0,4.142857142857143,5.285714285714286,2.4285714285714284,0.7142857142857143
2020-03-02,0.0,0.14285714285714285,1.5714285714285714,0.42857142857142855,3.4285714285714284,4.285714285714286,6.571428571428571,7.428571428571429,4.0,0.8571428571428571
2020-03-03,0.14285714285714285,0.14285714285714285,2.142857142857143,1.4285714285714286,5.0,16.428571428571427,9.285714285714286,9.857142857142858,5.714285714285714,1.0
2020-03-04,0.42857142857142855,0.2857142857142857,2.5714285714285716,2.0,7.0,18.714285714285715,12.142857142857142,13.428571428571429,7.857142857142857,1.5714285714285714
2020-03-05,0.5714285714285714,0.2857142857142857,3.2857142857142856,3.0,9.285714285714286,21.571428571428573,14.428571428571429,16.142857142857142,9.571428571428571,1.5714285714285714
2020-03-06,0.5714285714285714,0.2857142857142857,3.7142857142857144,4.714285714285714,10.857142857142858,24.571428571428573,16.857142857142858,17.0,12.428571428571429,2.4285714285714284
2020-03-07,0.7142857142857143,0.42857142857142855,4.857142857142857,7.571428571428571,14.0,27.714285714285715,22.0,21.0,16.571428571428573,3.142857142857143
2020-03-08,0.8571428571428571,0.5714285714285714,5.857142857142857,9.571428571428571,17.0,31.857142857142858,26.0,27.0,22.142857142857142,4.714285714285714
2020-03-09,1.1428571428571428,0.5714285714285714,7.714285714285714,13.714285714285714,23.428571428571427,38.714285714285715,30.714285714285715,31.714285714285715,26.428571428571427,5.571428571428571
2020-03-10,1.2857142857142858,0.7142857142857143,9.142857142857142,16.857142857142858,26.714285714285715,36.0,35.714285714285715,39.285714285714285,32.57142857142857,7.428571428571429
2020-03-11,1.0,0.7142857142857143,10.857142857142858,18.428571428571427,27.714285714285715,39.57142857142857,36.714285714285715,41.857142857142854,35.714285714285715,7.571428571428571
2020-03-12,1.0,0.8571428571428571,12.0,21.285714285714285,33.57142857142857,45.714285714285715,42.57142857142857,50.42857142857143,41.42857142857143,9.285714285714286
2020-03-13,1.2857142857142858,1.2857142857142858,14.571428571428571,24.142857142857142,42.285714285714285,57.285714285714285,51.142857142857146,59.857142857142854,46.714285714285715,10.0
2020-03-14,1.7142857142857142,1.2857142857142858,16.571428571428573,26.857142857142858,49.142857142857146,67.85714285714286,59.0,65.71428571428571,51.285714285714285,10.285714285714286
2020-03-15,1.5714285714285714,1.1428571428571428,16.285714285714285,28.428571428571427,51.0,73.14285714285714,62.285714285714285,69.71428571428571,54.285714285714285,10.428571428571429
2020-03-16,1.4285714285714286,1.2857142857142858,15.285714285714286,27.428571428571427,50.857142857142854,78.0,65.71428571428571,73.42857142857143,54.285714285714285,10.714285714285714
2020-03-17,2.2857142857142856,1.2857142857142858,15.714285714285714,26.571428571428573,55.714285714285715,86.14285714285714,74.85714285714286,79.14285714285714,60.42857142857143,10.142857142857142
2020-03-18,2.7142857142857144,1.4285714285714286,16.857142857142858,28.857142857142858,63.0,98.42857142857143,84.71428571428571,85.28571428571429,68.0,12.714285714285714
2020-03-19,2.857142857142857,1.7142857142857142,17.142857142857142,29.0,65.85714285714286,105.57142857142857,91.85714285714286,87.42857142857143,74.71428571428571,13.714285714285714
2020-03-20,2.857142857142857,1.2857142857142858,16.857142857142858,27.428571428571427,60.857142857142854,104.85714285714286,91.14285714285714,90.71428571428571,75.28571428571429,14.0
2020-03-21,2.5714285714285716,1.5714285714285714,16.428571428571427,25.857142857142858,61.142857142857146,106.14285714285714,93.85714285714286,96.57142857142857,78.85714285714286,15.428571428571429
2020-03-22,2.7142857142857144,2.142857142857143,18.142857142857142,26.428571428571427,65.57142857142857,107.57142857142857,96.42857142857143,95.28571428571429,76.57142857142857,16.285714285714285
2020-03-23,2.857142857142857,2.4285714285714284,22.0,31.142857142857142,72.85714285714286,116.14285714285714,103.57142857142857,98.57142857142857,87.28571428571429,17.285714285714285
2020-03-24,1.7142857142857142,2.4285714285714284,24.857142857142858,32.857142857142854,73.0,116.85714285714286,99.71428571428571,97.85714285714286,89.14285714285714,20.142857142857142
2020-03-25,2.142857142857143,2.4285714285714284,25.428571428571427,33.0,71.85714285714286,114.85714285714286,96.0,94.14285714285714,87.85714285714286,19.857142857142858
2020-03-26,2.4285714285714284,2.2857142857142856,25.714285714285715,34.57142857142857,70.57142857142857,110.42857142857143,87.0,88.42857142857143,87.14285714285714,21.857142857142858
2020-03-27,2.5714285714285716,3.0,27.428571428571427,39.57142857142857,78.14285714285714,114.57142857142857,87.85714285714286,84.71428571428571,96.71428571428571,25.571428571428573
2020-03-28,2.4285714285714284,3.142857142857143,28.142857142857142,42.285714285714285,80.28571428571429,112.28571428571429,82.28571428571429,78.14285714285714,97.57142857142857,29.142857142857142
2020-03-29,2.857142857142857,3.0,30.428571428571427,46.857142857142854,82.28571428571429,118.57142857142857,80.85714285714286,82.57142857142857,104.14285714285714,30.714285714285715
2020-03-30,2.7142857142857144,3.142857142857143,28.428571428571427,44.57142857142857,74.42857142857143,109.85714285714286,71.28571428571429,76.71428571428571,107.28571428571429,36.57142857142857
2020-03-31,3.0,3.7142857142857144,28.428571428571427,45.42857142857143,75.71428571428571,104.71428571428571,70.14285714285714,73.57142857142857,110.14285714285714,39.142857142857146
