data,casi,casi_media7gg
2020-01-29,2,
2020-01-30,0,
2020-01-31,0,
2020-02-01,0,0.0
2020-02-02,0,0.14285714285714285
2020-02-03,0,0.14285714285714285
2020-02-04,0,0.14285714285714285
2020-02-05,0,0.14285714285714285
2020-02-06,1,0.14285714285714285
2020-02-07,0,0.14285714285714285
2020-02-08,0,0.14285714285714285
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.5714285714285714
2020-02-17,0,5.714285714285714
2020-02-18,0,13.857142857142858
2020-02-19,0,24.857142857142858
2020-02-20,4,37.0
2020-02-21,36,64.14285714285714
2020-02-22,57,103.85714285714286
2020-02-23,77,144.14285714285714
2020-02-24,85,188.71428571428572
2020-02-25,190,234.0
2020-02-26,278,281.85714285714283
2020-02-27,286,359.57142857142856
2020-02-28,348,447.2857142857143
2020-02-29,374,561.2857142857143
2020-03-01,412,706.2857142857143
2020-03-02,629,874.7142857142857
2020-03-03,804,1033.2857142857142
2020-03-04,1076,1181.7142857142858
2020-03-05,1301,1411.5714285714287
2020-03-06,1527,1646.4285714285713
2020-03-07,1484,1889.7142857142858
2020-03-08,1451,2152.714285714286
2020-03-09,2238,2521.0
2020-03-10,2448,2813.8571428571427
2020-03-11,2779,3013.5714285714284
2020-03-12,3142,3381.714285714286
2020-03-13,4105,3795.1428571428573
2020-03-14,3534,4211.142857142857
2020-03-15,2849,4573.428571428572
2020-03-16,4815,4880.0
2020-03-17,5342,5077.428571428572
2020-03-18,5691,5231.285714285715
2020-03-19,5678,5414.428571428572
2020-03-20,6251,5496.285714285715
2020-03-21,4916,5512.285714285715
2020-03-22,3926,5515.714285714285
2020-03-23,6097,5450.142857142857
2020-03-24,5915,5394.571428571428
2020-03-25,5803,5264.142857142857
2020-03-26,5702,5119.285714285715
2020-03-27,5792,5039.428571428572
2020-03-28,4527,4928.428571428572
2020-03-29,3013,4796.0
2020-03-30,5083,4604.142857142857
2020-03-31,5356,4480.285714285715
2020-04-01,5026,4421.571428571428
2020-04-02,4775,4278.857142857143
2020-04-03,4449,4105.0
2020-04-04,3660,4071.714285714286
2020-04-05,2602,4058.714285714286
2020-04-06,4084,4156.142857142857
2020-04-07,4139,4123.285714285715
2020-04-08,4793,4026.0
2020-04-09,4684,3766.4285714285716
2020-04-10,5131,3643.4285714285716
2020-04-11,3430,3523.0
2020-04-12,1921,3383.1428571428573
2020-04-13,2267,3150.285714285714
2020-04-14,3278,3037.1428571428573
2020-04-15,3950,2960.8571428571427
2020-04-16,3705,3066.4285714285716
2020-04-17,3501,3037.5714285714284
2020-04-18,2638,2845.5714285714284
2020-04-19,1387,2718.1428571428573
2020-04-20,3006,2609.0
2020-04-21,3076,2470.285714285714
2020-04-22,2606,2417.5714285714284
2020-04-23,2813,2270.5714285714284
2020-04-24,2737,2151.285714285714
2020-04-25,1667,2111.5714285714284
2020-04-26,1018,2033.4285714285713
2020-04-27,1977,1797.5714285714287
2020-04-28,2241,1705.142857142857
2020-04-29,2328,1632.0
2020-04-30,2266,1557.5714285714287
2020-05-01,1086,1457.0
2020-05-02,1020,1330.4285714285713
2020-05-03,506,1205.142857142857
2020-05-04,1456,1247.0
2020-05-05,1537,1205.7142857142858
2020-05-06,1442,1181.5714285714287
2020-05-07,1389,1098.142857142857
2020-05-08,1379,1009.1428571428571
2020-05-09,731,930.2857142857143
2020-05-10,337,860.7142857142857
2020-05-11,872,776.7142857142857
2020-05-12,914,758.8571428571429
2020-05-13,890,753.2857142857143
2020-05-14,902,722.2857142857143
2020-05-15,791,694.5714285714286
2020-05-16,606,663.7142857142857
2020-05-17,298,623.7142857142857
2020-05-18,655,608.5714285714286
2020-05-19,720,572.8571428571429
2020-05-20,674,551.2857142857143
2020-05-21,622,531.0
2020-05-22,685,505.42857142857144
2020-05-23,356,484.0
2020-05-24,147,468.85714285714283
2020-05-25,513,426.14285714285717
2020-05-26,541,416.0
2020-05-27,524,407.7142857142857
2020-05-28,516,388.2857142857143
2020-05-29,386,323.42857142857144
2020-05-30,285,299.7142857142857
2020-05-31,89,277.57142857142856
2020-06-01,377,277.42857142857144
2020-06-02,87,265.7142857142857
2020-06-03,358,265.0
2020-06-04,361,254.0
2020-06-05,385,294.14285714285717
2020-06-06,203,299.2857142857143
2020-06-07,84,311.85714285714283
2020-06-08,300,309.42857142857144
2020-06-09,368,311.14285714285717
2020-06-10,394,308.85714285714283
2020-06-11,449,305.42857142857144
2020-06-12,368,292.85714285714283
2020-06-13,215,279.7142857142857
2020-06-14,68,248.85714285714286
2020-06-15,276,237.85714285714286
2020-06-16,280,230.71428571428572
2020-06-17,302,229.85714285714286
2020-06-18,233,238.71428571428572
2020-06-19,291,239.85714285714286
2020-06-20,165,226.14285714285714
2020-06-21,62,221.71428571428572
2020-06-22,338,206.42857142857142
2020-06-23,288,200.57142857142858
2020-06-24,206,201.14285714285714
2020-06-25,202,185.71428571428572
2020-06-26,184,173.0
2020-06-27,124,177.14285714285714
2020-06-28,66,183.42857142857142
2020-06-29,230,191.57142857142858
2020-06-30,199,205.42857142857142
2020-07-01,235,206.85714285714286
2020-07-02,246,207.57142857142858
2020-07-03,241,211.0
2020-07-04,221,218.14285714285714
2020-07-05,76,214.42857142857142
2020-07-06,235,215.28571428571428
2020-07-07,223,206.85714285714286
2020-07-08,285,204.71428571428572
2020-07-09,220,197.57142857142858
2020-07-10,247,199.57142857142858
2020-07-11,162,192.85714285714286
2020-07-12,61,198.0
2020-07-13,185,203.28571428571428
2020-07-14,237,203.85714285714286
2020-07-15,238,210.85714285714286
2020-07-16,256,229.71428571428572
2020-07-17,284,235.57142857142858
2020-07-18,166,241.0
2020-07-19,110,242.85714285714286
2020-07-20,317,245.85714285714286
2020-07-21,278,249.71428571428572
2020-07-22,276,247.14285714285714
2020-07-23,269,248.14285714285714
2020-07-24,305,253.42857142857142
2020-07-25,193,280.42857142857144
2020-07-26,92,295.0
2020-07-27,324,295.85714285714283
2020-07-28,315,295.57142857142856
2020-07-29,465,297.42857142857144
2020-07-30,371,310.42857142857144
2020-07-31,311,320.7142857142857
2020-08-01,191,326.42857142857144
2020-08-02,105,329.57142857142856
2020-08-03,415,354.42857142857144
2020-08-04,387,374.14285714285717
2020-08-05,505,385.0
2020-08-06,393,395.2857142857143
2020-08-07,485,414.14285714285717
2020-08-08,329,430.2857142857143
2020-08-09,181,450.2857142857143
2020-08-10,487,466.14285714285717
2020-08-11,519,460.85714285714283
2020-08-12,618,471.42857142857144
2020-08-13,533,500.7142857142857
2020-08-14,596,550.7142857142857
2020-08-15,292,604.7142857142857
2020-08-16,255,684.4285714285714
2020-08-17,692,784.2857142857143
2020-08-18,869,878.5714285714286
2020-08-19,996,934.0
2020-08-20,1091,1059.7142857142858
2020-08-21,1295,1153.2857142857142
2020-08-22,952,1223.857142857143
2020-08-23,643,1276.7142857142858
2020-08-24,1572,1289.857142857143
2020-08-25,1524,1299.0
2020-08-26,1490,1281.142857142857
2020-08-27,1461,1250.4285714285713
2020-08-28,1387,1225.857142857143
2020-08-29,1016,1232.4285714285713
2020-08-30,518,1241.7142857142858
2020-08-31,1357,1272.0
2020-09-01,1352,1284.0
2020-09-02,1536,1283.857142857143
2020-09-03,1526,1308.5714285714287
2020-09-04,1599,1336.2857142857142
2020-09-05,1100,1341.4285714285713
2020-09-06,517,1351.7142857142858
2020-09-07,1530,1348.142857142857
2020-09-08,1546,1359.142857142857
2020-09-09,1572,1362.857142857143
2020-09-10,1598,1368.7142857142858
2020-09-11,1574,1396.5714285714287
2020-09-12,1177,1388.5714285714287
2020-09-13,543,1399.5714285714287
2020-09-14,1571,1433.857142857143
2020-09-15,1741,1447.142857142857
2020-09-16,1516,1454.857142857143
2020-09-17,1675,1503.857142857143
2020-09-18,1814,1523.0
2020-09-19,1270,1586.7142857142858
2020-09-20,597,1618.5714285714287
2020-09-21,1914,1647.857142857143
2020-09-22,1875,1667.0
2020-09-23,1962,1698.7142857142858
2020-09-24,1898,1731.5714285714287
2020-09-25,2019,1782.0
2020-09-26,1404,1857.7142857142858
2020-09-27,819,1999.857142857143
