dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 7gg
2020-08-22,0,0.0,
2020-08-23,0,0.0,
2020-08-24,0,0.0,
2020-08-25,0,0.0,
2020-08-26,0,0.0,
2020-08-27,0,0.0,
2020-08-28,0,0.0,
2020-08-29,0,0.0,
2020-08-30,0,0.0,
2020-08-31,0,0.0,
2020-09-01,0,0.0,
2020-09-02,1,0.0,
2020-09-03,1,0.0,
2020-09-04,0,0.0,
2020-09-05,1,0.0,
2020-09-06,0,0.0,
2020-09-07,1,0.0,
2020-09-08,0,0.0,
2020-09-09,0,0.0,
2020-09-10,2,0.0,
2020-09-11,1,0.0,
2020-09-12,0,0.0,
2020-09-13,0,0.0,
2020-09-14,1,0.0,
2020-09-15,0,0.0,
2020-09-16,1,1.0,
2020-09-17,0,0.0,
2020-09-18,0,0.0,
2020-09-19,0,0.0,
2020-09-20,1,0.0,
2020-09-21,0,0.0,
2020-09-22,1,0.0,
2020-09-23,1,0.0,
2020-09-24,2,0.0,
2020-09-25,2,1.0,
2020-09-26,1,0.0,
2020-09-27,0,0.0,
2020-09-28,0,0.0,
2020-09-29,0,0.0,
2020-09-30,1,0.0,
2020-10-01,2,1.0,
2020-10-02,2,1.0,
2020-10-03,5,3.0,0.29999999999999993
2020-10-04,4,0.0,
2020-10-05,1,0.0,
2020-10-06,2,1.0,
2020-10-07,0,0.0,
2020-10-08,1,1.0,
2020-10-09,1,0.0,
2020-10-10,2,0.0,
2020-10-11,0,0.0,
2020-10-12,2,2.0,
2020-10-13,0,0.0,
2020-10-14,4,0.0,
2020-10-15,6,0.0,
2020-10-16,0,0.0,
2020-10-17,6,1.0,
2020-10-18,5,2.0,
2020-10-19,4,1.0,
2020-10-20,4,1.0,0.24761904761904757
2020-10-21,5,0.0,0.22380952380952374
2020-10-22,3,2.0,0.16666666666666657
2020-10-23,9,0.0,0.16269841269841262
2020-10-24,4,0.0,0.19841269841269835
2020-10-25,1,0.0,0.2162698412698412
2020-10-26,9,2.0,0.17460317460317457
2020-10-27,4,2.0,0.20317460317460312
2020-10-28,8,1.0,0.21269841269841264
2020-10-29,8,3.0,0.273922902494331
2020-10-30,10,2.0,0.2993197278911564
2020-10-31,15,1.0,0.3048142333856619
2020-11-01,7,3.0,0.3073652537938251
2020-11-02,5,2.0,0.3048142333856619
2020-11-03,13,7.0,0.3476713762428047
2020-11-04,7,1.0,0.37710860568003407
2020-11-05,14,5.0,0.3444555444555443
2020-11-06,4,2.0,0.38255078255078245
2020-11-07,11,3.0,0.377056277056277
2020-11-08,5,1.0,0.4423623995052566
2020-11-09,9,6.0,0.4389610389610389
2020-11-10,4,2.0,0.4532467532467532
2020-11-11,5,3.0,0.4738095238095238
2020-11-12,6,2.0,0.5613095238095237
2020-11-13,10,6.0,0.5375
2020-11-14,12,5.0,0.5454365079365079
2020-11-15,16,13.0,0.47559523809523807
2020-11-16,6,3.0,0.4929112554112554
2020-11-17,9,5.0,0.49648268398268397
2020-11-18,9,1.0,0.5798160173160172
2020-11-19,11,5.0,0.6066017316017315
2020-11-20,8,5.0,0.6780303030303029
2020-11-21,4,4.0,0.7415223665223664
2020-11-22,4,4.0,0.8685064935064934
2020-11-23,4,4.0,
2020-11-24,1,1.0,
2020-11-25,1,1.0,
2020-11-26,0,0.0,
2020-11-27,4,4.0,
2020-11-28,1,0.0,
2020-11-29,1,1.0,
2020-11-30,4,4.0,0.8571428571428571
2020-12-01,2,2.0,0.8571428571428571
2020-12-02,1,1.0,
2020-12-03,3,3.0,
2020-12-04,2,2.0,
2020-12-05,0,0.0,
2020-12-06,1,1.0,
2020-12-07,2,2.0,
2020-12-08,1,1.0,
2020-12-09,1,1.0,
2020-12-10,4,4.0,
2020-12-11,0,0.0,
2020-12-12,2,2.0,
2020-12-13,1,1.0,
2020-12-14,2,2.0,
2020-12-15,0,0.0,
2020-12-16,0,0.0,
2020-12-17,1,0.0,
2020-12-18,2,2.0,
2020-12-19,0,0.0,
2020-12-20,0,0.0,
2020-12-21,1,1.0,
2020-12-22,2,2.0,
2020-12-23,4,4.0,
2020-12-24,2,2.0,1.0
2020-12-25,2,2.0,
2020-12-26,2,2.0,
2020-12-27,1,1.0,
2020-12-28,0,0.0,
2020-12-29,2,2.0,
2020-12-30,1,1.0,
2020-12-31,1,1.0,
2021-01-01,3,3.0,1.0
2021-01-02,1,1.0,
2021-01-03,1,1.0,
2021-01-04,1,1.0,
2021-01-05,0,0.0,
2021-01-06,2,2.0,
2021-01-07,1,1.0,
2021-01-08,2,2.0,
2021-01-09,0,0.0,
2021-01-10,5,5.0,
2021-01-11,1,1.0,
2021-01-12,0,0.0,
2021-01-13,1,1.0,
2021-01-14,2,2.0,
2021-01-15,2,2.0,
2021-01-16,1,1.0,1.0
2021-01-17,1,1.0,1.0
2021-01-18,1,1.0,1.0
2021-01-19,1,1.0,1.0
2021-01-20,3,3.0,
2021-01-21,1,1.0,
2021-01-22,2,2.0,
2021-01-23,0,0.0,
2021-01-24,4,4.0,
2021-01-25,2,2.0,
2021-01-26,0,0.0,
2021-01-27,0,0.0,
2021-01-28,0,0.0,
2021-01-29,1,0.0,
2021-01-30,1,1.0,
2021-01-31,2,2.0,
2021-02-01,2,2.0,
2021-02-02,1,1.0,
2021-02-03,0,0.0,
2021-02-04,1,1.0,
2021-02-05,1,1.0,
2021-02-06,1,1.0,
2021-02-07,1,1.0,
2021-02-08,0,0.0,
2021-02-09,1,1.0,
2021-02-10,2,2.0,
2021-02-11,1,0.0,
2021-02-12,0,0.0,
2021-02-13,2,2.0,
2021-02-14,0,0.0,
2021-02-15,1,0.0,
2021-02-16,2,2.0,
2021-02-17,1,1.0,
2021-02-18,0,0.0,
2021-02-19,1,1.0,
2021-02-20,0,0.0,
2021-02-21,0,0.0,
2021-02-22,2,2.0,
2021-02-23,1,1.0,
2021-02-24,2,0.0,
2021-02-25,3,3.0,
2021-02-26,0,0.0,
2021-02-27,4,4.0,
2021-02-28,0,0.0,
2021-03-01,1,0.0,
2021-03-02,2,2.0,
2021-03-03,2,2.0,
2021-03-04,1,1.0,0.7738095238095238
2021-03-05,1,1.0,0.8452380952380952
2021-03-06,4,3.0,
2021-03-07,3,2.0,
2021-03-08,4,2.0,
2021-03-09,0,0.0,
2021-03-10,2,2.0,
2021-03-11,3,3.0,
2021-03-12,7,7.0,
2021-03-13,4,3.0,0.8928571428571429
2021-03-14,2,1.0,
2021-03-15,5,5.0,
2021-03-16,4,4.0,
2021-03-17,0,0.0,
2021-03-18,1,1.0,
2021-03-19,2,2.0,
2021-03-20,5,5.0,
2021-03-21,2,1.0,0.9285714285714286
2021-03-22,2,2.0,0.880952380952381
2021-03-23,2,2.0,0.880952380952381
2021-03-24,2,2.0,0.8095238095238095
2021-03-25,3,2.0,0.880952380952381
2021-03-26,2,2.0,0.880952380952381
2021-03-27,2,1.0,0.880952380952381
2021-03-28,6,6.0,0.880952380952381
2021-03-29,1,1.0,0.9285714285714286
2021-03-30,2,2.0,0.9285714285714286
2021-03-31,3,3.0,
2021-04-01,1,1.0,
2021-04-02,2,2.0,
2021-04-03,0,0.0,
2021-04-04,3,3.0,
2021-04-05,1,1.0,
2021-04-06,1,1.0,
2021-04-07,0,0.0,
2021-04-08,1,1.0,
2021-04-09,1,1.0,
2021-04-10,2,2.0,
2021-04-11,3,2.0,
2021-04-12,1,1.0,
2021-04-13,0,0.0,
2021-04-14,2,2.0,
2021-04-15,1,1.0,
2021-04-16,1,1.0,
2021-04-17,0,0.0,
2021-04-18,0,0.0,
2021-04-19,0,0.0,
2021-04-20,1,1.0,
2021-04-21,2,2.0,
2021-04-22,1,1.0,
2021-04-23,3,3.0,
2021-04-24,1,1.0,
2021-04-25,0,0.0,
2021-04-26,2,2.0,
2021-04-27,2,2.0,
2021-04-28,1,1.0,
2021-04-29,1,1.0,
2021-04-30,3,3.0,
2021-05-01,0,0.0,
2021-05-02,1,1.0,
2021-05-03,4,4.0,
2021-05-04,1,1.0,
2021-05-05,0,0.0,
2021-05-06,2,2.0,
2021-05-07,2,2.0,
2021-05-08,0,0.0,
2021-05-09,0,0.0,
2021-05-10,0,0.0,
2021-05-11,1,0.0,
2021-05-12,3,3.0,
2021-05-13,0,0.0,
2021-05-14,0,0.0,
2021-05-15,0,0.0,
2021-05-16,0,0.0,
2021-05-17,1,1.0,
2021-05-18,0,0.0,
2021-05-19,0,0.0,
2021-05-20,0,0.0,
2021-05-21,0,0.0,
2021-05-22,0,0.0,
2021-05-23,0,0.0,
2021-05-24,2,2.0,
2021-05-25,0,0.0,
2021-05-26,0,0.0,
2021-05-27,0,0.0,
2021-05-28,1,1.0,
2021-05-29,0,0.0,
2021-05-30,0,0.0,
2021-05-31,0,0.0,
2021-06-01,0,0.0,
2021-06-02,0,0.0,
2021-06-03,2,1.0,
2021-06-04,0,0.0,
2021-06-05,0,0.0,
2021-06-06,0,0.0,
2021-06-07,0,0.0,
2021-06-08,0,0.0,
2021-06-09,0,0.0,
2021-06-10,1,1.0,
2021-06-11,0,0.0,
2021-06-12,0,0.0,
2021-06-13,0,0.0,
2021-06-14,0,0.0,
2021-06-15,0,0.0,
2021-06-16,0,0.0,
2021-06-17,0,0.0,
2021-06-18,0,0.0,
2021-06-19,0,0.0,
2021-06-20,0,0.0,
2021-06-21,0,0.0,
2021-06-22,0,0.0,
2021-06-23,0,0.0,
2021-06-24,0,0.0,
2021-06-25,0,0.0,
2021-06-26,1,0.0,
2021-06-27,0,0.0,
2021-06-28,0,0.0,
2021-06-29,0,0.0,
2021-06-30,0,0.0,
2021-07-01,1,1.0,
2021-07-02,0,0.0,
2021-07-03,0,0.0,
2021-07-04,0,0.0,
2021-07-05,0,0.0,
2021-07-06,0,0.0,
2021-07-07,0,0.0,
2021-07-08,0,0.0,
2021-07-09,1,0.0,
2021-07-10,0,0.0,
2021-07-11,0,0.0,
2021-07-12,0,0.0,
2021-07-13,1,0.0,
2021-07-14,0,0.0,
2021-07-15,0,0.0,
2021-07-16,1,0.0,
2021-07-17,0,0.0,
2021-07-18,0,0.0,
2021-07-19,0,0.0,
2021-07-20,1,0.0,
2021-07-21,0,0.0,
2021-07-22,0,0.0,
2021-07-23,0,0.0,
2021-07-24,0,0.0,
2021-07-25,0,0.0,
2021-07-26,0,0.0,
2021-07-27,0,0.0,
2021-07-28,1,1.0,
2021-07-29,0,0.0,
2021-07-30,0,0.0,
2021-07-31,1,1.0,
2021-08-01,0,0.0,
2021-08-02,1,1.0,
2021-08-03,0,0.0,
2021-08-04,0,0.0,
2021-08-05,1,0.0,
2021-08-06,1,0.0,
2021-08-07,0,0.0,
2021-08-08,0,0.0,
2021-08-09,0,0.0,
2021-08-10,0,0.0,
2021-08-11,1,1.0,
2021-08-12,0,0.0,
2021-08-13,1,1.0,
