date,confirmed,intensive_care,terapia intensiva/positivi 7gg
2020-01-29,2,,
2020-01-30,0,,
2020-01-31,0,,
2020-02-01,0,,
2020-02-02,0,,
2020-02-03,0,,
2020-02-04,0,,
2020-02-05,0,,
2020-02-06,1,,
2020-02-07,0,,
2020-02-08,0,,
2020-02-09,0,,
2020-02-10,0,,
2020-02-11,0,,
2020-02-12,0,,
2020-02-13,0,,
2020-02-14,0,,
2020-02-15,0,,
2020-02-16,0,,
2020-02-17,0,,
2020-02-18,0,,
2020-02-19,0,,
2020-02-20,4,1.0,
2020-02-21,36,12.0,
2020-02-22,57,13.0,
2020-02-23,77,10.0,0.14442916093535077
2020-02-24,85,11.0,0.13960396039603962
2020-02-25,192,27.0,0.14069591527987896
2020-02-26,276,31.0,0.14346764346764346
2020-02-27,287,37.0,0.14662607813292744
2020-02-28,348,57.0,0.14552683896620278
2020-02-29,373,62.0,0.144
2020-03-01,410,64.0,0.13885350318471337
2020-03-02,629,88.0,0.13218623481781377
2020-03-03,802,111.0,0.12365240117608625
2020-03-04,1076,126.0,0.11511789181692095
2020-03-05,1302,145.0,0.10884848484848485
2020-03-06,1530,161.0,0.10134929491731764
2020-03-07,1461,135.0,0.09475788924628357
2020-03-08,1450,132.0,0.09141861698098917
2020-03-09,2236,189.0,0.08786972416085079
2020-03-10,2448,202.0,0.08373069936421434
2020-03-11,2776,243.0,0.08172905978564535
2020-03-12,3144,260.0,0.08228598529760493
2020-03-13,4101,314.0,0.07965013098960534
2020-03-14,3532,269.0,0.07728213815170337
2020-03-15,2848,258.0,0.07344211133349164
2020-03-16,4817,339.0,0.07058750039041758
2020-03-17,5347,370.0,0.06748214912794101
2020-03-18,5690,355.0,0.06583795033326771
2020-03-19,5682,355.0,0.06392968280832013
2020-03-20,6256,360.0,0.06338028169014084
2020-03-21,4917,304.0,0.06132737383711865
2020-03-22,3925,259.0,0.05985076173696756
2020-03-23,6097,400.0,0.05651239284141825
2020-03-24,5915,327.0,0.05288133815741178
2020-03-25,5804,305.0,0.050247662437422194
2020-03-26,5697,227.0,0.0478568907950813
2020-03-27,5787,195.0,0.04270641433595713
2020-03-28,4528,184.0,0.03811144193960017
2020-03-29,3011,125.0,0.034681745686530374
2020-03-30,5084,167.0,0.03324892000595859
2020-03-31,5354,141.0,0.031839622641509434
2020-04-01,5024,157.0,0.030419948343483945
2020-04-02,4777,147.0,0.02936995153473344
2020-04-03,4446,105.0,0.027843621673955866
2020-04-04,3665,112.0,0.027280002783673752
2020-04-05,2600,80.0,0.027539994386752736
2020-04-06,4087,92.0,0.028369293583471192
2020-04-07,4140,91.0,0.0267743598556453
2020-04-08,4789,158.0,0.02467082467082467
2020-04-09,4684,168.0,0.023848392362836254
2020-04-10,5130,78.0,0.02367133265050643
2020-04-11,3430,45.0,0.023058823529411764
2020-04-12,1918,40.0,0.02035850433936248
2020-04-13,2270,44.0,0.0161338007348904
2020-04-14,3279,55.0,0.01887220432790455
2020-04-15,3947,72.0,0.022115565593826464
2020-04-16,3703,48.0,0.023264793899025003
2020-04-17,3496,112.0,0.025122349102773247
2020-04-18,2639,99.0,0.027240649258997884
2020-04-19,1384,52.0,0.028476721410275727
2020-04-20,3007,101.0,0.0311284046692607
2020-04-21,3079,95.0,0.03028477546549836
2020-04-22,2603,60.0,0.030716723549488054
2020-04-23,2810,73.0,0.030969267139479905
2020-04-24,2738,73.0,0.029326620516047827
2020-04-25,1666,77.0,0.028702411799880406
2020-04-26,1017,45.0,0.027883053600433135
2020-04-27,1977,43.0,0.027055516514406183
2020-04-28,2240,61.0,0.028069338422391857
2020-04-29,2328,40.0,0.025901089689857503
2020-04-30,2264,46.0,0.02434538926350819
2020-05-01,1084,41.0,0.02413508305038084
2020-05-02,1020,33.0,0.02167941926623504
2020-05-03,506,14.0,0.02159664768453852
2020-05-04,1455,28.0,0.022058823529411766
2020-05-05,1537,19.0,0.019477543538038496
2020-05-06,1441,20.0,0.019196587273373623
2020-05-07,1389,31.0,0.019228443584472125
2020-05-08,1380,25.0,0.01912319500455314
2020-05-09,731,25.0,0.021234428086070217
2020-05-10,336,11.0,0.021495470597267006
2020-05-11,873,16.0,0.02207835325365206
2020-05-12,914,22.0,0.022263109475620976
2020-05-13,890,10.0,0.02071563088512241
2020-05-14,900,24.0,0.020295902883156296
2020-05-15,791,13.0,0.02077562326869806
2020-05-16,606,14.0,0.01934156378600823
2020-05-17,298,8.0,0.02087817477399914
2020-05-18,655,14.0,0.01900618273414243
2020-05-19,720,11.0,0.017601501994836892
2020-05-20,676,13.0,0.01720269259536275
2020-05-21,621,10.0,0.017875647668393783
2020-05-22,685,5.0,0.01775147928994083
2020-05-23,356,8.0,0.017524024872809497
2020-05-24,147,8.0,0.01536189069423929
2020-05-25,513,11.0,0.014329268292682927
2020-05-26,540,7.0,0.015431063401543106
2020-05-27,523,3.0,0.015463917525773196
2020-05-28,516,5.0,0.01367461430575035
2020-05-29,386,4.0,0.012150220913107511
2020-05-30,285,7.0,0.014140521431727796
2020-05-31,89,2.0,0.016205910390848427
2020-06-01,377,5.0,0.018528049408131755
2020-06-02,87,6.0,0.01905252317198764
2020-06-03,358,5.0,0.016666666666666666
2020-06-04,361,7.0,0.016711590296495958
2020-06-05,385,5.0,0.01856017997750281
2020-06-06,203,1.0,0.013598834385624089
2020-06-07,84,2.0,0.013365155131264916
2020-06-08,300,7.0,0.011910215300045808
2020-06-09,368,1.0,0.01061865189289012
2020-06-10,394,5.0,0.010564997703261369
2020-06-11,449,5.0,0.01064322073114299
2020-06-12,368,2.0,0.009358914365933552
2020-06-13,214,1.0,0.010736944851146901
2020-06-14,68,2.0,0.010725229826353423
2020-06-15,276,4.0,0.010332950631458095
2020-06-16,280,3.0,0.01201923076923077
2020-06-17,303,4.0,0.01238390092879257
2020-06-18,233,2.0,0.011187072715972654
2020-06-19,290,4.0,0.008378216636744464
2020-06-20,165,1.0,0.009523809523809525
2020-06-21,62,0.0,0.00946969696969697
2020-06-22,338,0.0,0.010939510939510939
2020-06-23,289,5.0,0.010344827586206896
2020-06-24,207,3.0,0.0113555713271824
2020-06-25,203,4.0,0.012031139419674451
2020-06-26,186,2.0,0.013016845329249618
2020-06-27,124,2.0,0.013934426229508197
2020-06-28,66,1.0,0.0128
2020-06-29,231,0.0,0.011574074074074073
2020-06-30,203,5.0,0.009601181683899557
2020-07-01,237,2.0,0.008253094910591471
2020-07-02,249,3.0,0.00819672131147541
2020-07-03,244,0.0,0.009523809523809525
2020-07-04,224,1.0,0.008037508372404554
2020-07-05,76,1.0,0.008414239482200648
2020-07-06,237,2.0,0.006596306068601583
2020-07-07,226,3.0,0.007213114754098361
2020-07-08,289,3.0,0.006830601092896175
2020-07-09,220,0.0,0.006887052341597796
2020-07-10,253,1.0,0.005689900426742532
2020-07-11,163,0.0,0.004219409282700422
2020-07-12,64,1.0,0.004369992716678805
2020-07-13,191,0.0,0.0056457304163726185
2020-07-14,242,1.0,0.006906077348066298
2020-07-15,240,3.0,0.0075497597803706245
2020-07-16,264,2.0,0.007978723404255319
2020-07-17,284,3.0,0.009191176470588236
2020-07-18,172,1.0,0.011390887290167866
2020-07-19,111,2.0,0.011072261072261072
2020-07-20,319,3.0,0.012195121951219513
2020-07-21,278,5.0,0.014857142857142857
2020-07-22,288,3.0,0.014656144306651634
2020-07-23,270,4.0,0.014823261117445839
2020-07-24,312,8.0,0.014764338444065871
2020-07-25,196,1.0,0.012777777777777779
2020-07-26,91,2.0,0.010606060606060607
2020-07-27,326,3.0,0.010664081434803683
2020-07-28,317,2.0,0.011138014527845037
2020-07-29,468,1.0,0.012141816415735794
2020-07-30,353,5.0,0.012048192771084338
2020-07-31,314,9.0,0.0110803324099723
2020-08-01,190,3.0,0.012516763522574878
2020-08-02,107,2.0,0.014059753954305799
2020-08-03,417,2.0,0.012510785159620362
2020-08-04,388,6.0,0.010036130068245684
2020-08-05,507,5.0,0.0094948727687049
2020-08-06,395,2.0,0.010701107011070111
2020-08-07,487,5.0,0.011155091759625764
2020-08-08,332,3.0,0.010298661174047374
2020-08-09,184,6.0,0.010234400792340706
2020-08-10,486,4.0,0.010110584518167456
2020-08-11,522,5.0,0.010375343301800427
2020-08-12,623,6.0,0.011423278789749922
2020-08-13,531,3.0,0.009966777408637873
2020-08-14,599,7.0,0.010241820768136558
2020-08-15,294,6.0,0.010608020698576973
2020-08-16,256,2.0,0.008960150907804764
2020-08-17,690,7.0,0.009162848812994586
2020-08-18,872,10.0,0.008365157301327515
2020-08-19,999,3.0,0.007465108730931516
2020-08-20,1092,9.0,0.007337205747477835
2020-08-21,1296,9.0,0.006202804746494067
2020-08-22,957,6.0,0.005825483391175013
2020-08-23,636,4.0,0.0065451145395044414
2020-08-24,1564,5.0,0.006386554621848739
2020-08-25,1524,11.0,0.006991454888469648
2020-08-26,1487,12.0,0.007493938726030417
2020-08-27,1461,10.0,0.007931188561215372
2020-08-28,1382,15.0,0.00824270177447052
2020-08-29,1020,11.0,0.007820707365472161
2020-08-30,514,7.0,0.008245267680873301
2020-08-31,1347,6.0,0.008758787599400715
2020-09-01,1356,6.0,0.007984705353126407
2020-09-02,1531,16.0,0.00858704137392662
2020-09-03,1527,15.0,0.008585126546995206
2020-09-04,1597,10.0,0.009527981601138977
2020-09-05,1095,17.0,0.009662873094266696
2020-09-06,516,7.0,0.010051325919589392
2020-09-07,1509,16.0,0.010612331529236973
2020-09-08,1539,9.0,0.011703372699223322
2020-09-09,1569,20.0,0.011610724086974878
2020-09-10,1598,21.0,0.012526315789473684
2020-09-11,1573,20.0,0.012242335460918699
2020-09-12,1170,17.0,0.013016295992620682
2020-09-13,542,16.0,0.012776919113858835
2020-09-14,1566,14.0,0.012264922322158627
2020-09-15,1739,19.0,0.011867956517403012
2020-09-16,1517,17.0,0.011648568608094769
2020-09-17,1677,17.0,0.011879049676025918
2020-09-18,1816,19.0,0.011593652000380119
2020-09-19,1273,16.0,0.010702215546376268
2020-09-20,598,19.0,0.01089795550752049
2020-09-21,1903,15.0,0.010773578240904275
2020-09-22,1868,11.0,0.011366594360086768
2020-09-23,1968,24.0,0.011586988241352673
2020-09-24,1898,18.0,0.011793446213461376
2020-09-25,2017,28.0,0.01238441215323646
2020-09-26,1399,20.0,0.012665330661322645
2020-09-27,818,24.0,0.012919101814826207
2020-09-28,2144,25.0,0.01279028224365845
2020-09-29,2231,19.0,0.011825328664860937
2020-09-30,2497,34.0,0.012440428297332426
2020-10-01,2889,29.0,0.01188934667451442
2020-10-02,3159,28.0,0.011894250246714798
2020-10-03,2419,42.0,0.011729530818767249
2020-10-04,1651,25.0,0.011948941723420741
2020-10-05,4407,52.0,0.011673433874709977
2020-10-06,4718,45.0,0.011752239668625373
2020-10-07,5278,72.0,0.011115613963990042
2020-10-08,5952,58.0,0.011445516018179802
2020-10-09,6718,72.0,0.010832620124709622
2020-10-10,5822,60.0,0.01084842460128798
2020-10-11,3189,54.0,0.010793370335516334
2020-10-12,9218,82.0,0.010817536159256251
2020-10-13,10097,104.0,0.010791534227459492
2020-10-14,11073,132.0,0.01111301321007732
2020-10-15,11752,122.0,0.011576293941967833
2020-10-16,13344,142.0,0.011794751582298002
2020-10-17,11425,143.0,0.011688902196936931
2020-10-18,6085,120.0,0.011470898635919793
2020-10-19,17277,193.0,0.011330770316027089
2020-10-20,19215,202.0,0.011318655114855735
2020-10-21,22289,241.0,0.011539006616094938
2020-10-22,23773,244.0,0.011832484893933057
2020-10-23,25746,281.0,0.011783036974126805
2020-10-24,19682,266.0,0.011507786501744449
2020-10-25,10704,214.0,0.01137166757423735
2020-10-26,28128,314.0,0.011292152780072931
2020-10-27,31047,297.0,0.011076571452535345
2020-10-28,33542,347.0,0.011198841885809533
2020-10-29,32693,331.0,0.01131362972659987
2020-10-30,34967,344.0,0.011552103837383797
2020-10-31,25100,350.0,0.011741137449267419
2020-11-01,13133,264.0,0.011892701003075856
2020-11-02,34762,438.0,0.012068767198435661
2020-11-03,37452,411.0,0.012111150774365304
2020-11-04,41019,468.0,0.012144741006435278
2020-11-05,39605,453.0,0.012323155397290998
2020-11-06,41442,432.0,0.012154513530262343
2020-11-07,29562,412.0,0.012080070337579487
2020-11-08,15139,331.0,0.01195133627164529
2020-11-09,37831,435.0,0.01188568486951901
2020-11-10,39937,423.0,0.011860276879589671
2020-11-11,38800,410.0,0.011722805033463587
2020-11-12,38167,420.0,0.011609214416294467
2020-11-13,39007,397.0,0.011416178184597125
2020-11-14,28093,362.0,0.011424609634050762
2020-11-15,13926,290.0,0.011373330779810923
2020-11-16,36299,372.0,0.01140637415026044
2020-11-17,37926,402.0,0.011452586383338716
2020-11-18,36330,370.0,0.01119603329862781
2020-11-19,34959,391.0,0.011008303677342823
2020-11-20,32330,331.0,0.010962259212988795
2020-11-21,22413,242.0,0.011134426569259864
2020-11-22,10493,212.0,0.011418992102498788
2020-11-23,28062,272.0,0.011261119712958572
2020-11-24,28418,331.0,0.011396882494004796
2020-11-25,27054,319.0,0.011504664719439001
2020-11-26,26257,264.0,0.011530299900471353
2020-11-27,24103,261.0,0.011897108197445239
2020-11-28,17895,208.0,0.011786178516827296
2020-11-29,7964,187.0,0.011721817162086371
2020-11-30,22296,262.0,0.011948448463141826
2020-12-01,22910,249.0,0.012080141426045963
2020-12-02,21215,241.0,0.012228711626148612
2020-12-03,19869,220.0,0.012091066219312859
2020-12-04,20217,232.0,0.012158103399943936
2020-12-05,15142,194.0,0.013015501608657502
2020-12-06,6214,148.0,0.012646292084974208
2020-12-07,19288,234.0,0.012261755831922879
2020-12-08,7463,155.0,0.011974607169957987
2020-12-09,19981,185.0,0.012034234032215868
2020-12-10,20407,185.0,0.011742491850710655
2020-12-11,19567,193.0,0.011587342325643292
