date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-01-31,,,,,,,,,,,
2020-02-01,,,,,,,,,,,
2020-02-02,,,,,,,,,,,
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.14285714285714285
2020-02-27,0.0,0.0,0.0,0.0,0.42857142857142855,0.7142857142857143,1.2857142857142858,1.1428571428571428,0.8571428571428571,0.7142857142857143,0.14285714285714285
2020-02-28,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.8571428571428571,1.7142857142857142,2.0,1.4285714285714286,0.8571428571428571,0.14285714285714285
2020-02-29,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,1.2857142857142858,2.142857142857143,2.0,2.142857142857143,1.0,0.14285714285714285
2020-03-01,0.0,0.0,0.0,0.7142857142857143,0.8571428571428571,1.5714285714285714,2.5714285714285716,2.4285714285714284,2.5714285714285716,1.0,0.14285714285714285
2020-03-02,0.0,0.0,0.14285714285714285,0.8571428571428571,1.4285714285714286,1.7142857142857142,3.0,3.142857142857143,3.5714285714285716,1.2857142857142858,0.14285714285714285
2020-03-03,0.0,0.0,0.14285714285714285,1.4285714285714286,1.5714285714285714,2.5714285714285716,3.4285714285714284,3.2857142857142856,3.7142857142857144,1.5714285714285714,0.14285714285714285
2020-03-04,0.0,0.0,0.14285714285714285,1.5714285714285714,2.0,3.5714285714285716,4.714285714285714,4.0,4.142857142857143,1.8571428571428572,0.14285714285714285
2020-03-05,0.0,0.0,0.14285714285714285,2.4285714285714284,2.142857142857143,4.285714285714286,5.285714285714286,4.571428571428571,5.428571428571429,2.4285714285714284,0.2857142857142857
2020-03-06,0.0,0.0,0.14285714285714285,2.2857142857142856,2.7142857142857144,5.571428571428571,6.857142857142857,6.285714285714286,6.0,3.7142857142857144,1.1428571428571428
