date,healthcare_workers,others
2020-02-21,5.0,26
2020-02-22,0.0,32
2020-02-23,4.0,43
2020-02-24,7.0,53
2020-02-25,15.0,80
2020-02-26,12.0,104
2020-02-27,35.0,112
2020-02-28,25.0,179
2020-02-29,21.0,229
2020-03-01,37.0,245
2020-03-02,52.0,344
2020-03-03,56.0,421
2020-03-04,53.0,576
2020-03-05,83.0,706
2020-03-06,127.0,776
2020-03-07,72.0,628
2020-03-08,80.0,689
2020-03-09,202.0,1013
2020-03-10,163.0,1188
2020-03-11,232.0,1102
2020-03-12,230.0,1130
2020-03-13,280.0,1438
2020-03-14,159.0,1213
2020-03-15,109.0,1083
2020-03-16,339.0,1794
2020-03-17,308.0,1777
2020-03-18,324.0,1835
2020-03-19,305.0,1925
2020-03-20,337.0,1887
2020-03-21,136.0,1273
2020-03-22,83.0,1080
2020-03-23,366.0,1824
2020-03-24,355.0,1800
2020-03-25,380.0,1668
2020-03-26,358.0,1687
2020-03-27,385.0,1602
2020-03-28,153.0,1209
2020-03-29,71.0,684
2020-03-30,299.0,1460
2020-03-31,293.0,1244
2020-04-01,273.0,1540
2020-04-02,248.0,1376
2020-04-03,254.0,1363
2020-04-04,107.0,973
2020-04-05,71.0,564
2020-04-06,236.0,1329
2020-04-07,197.0,1285
2020-04-08,165.0,1330
2020-04-09,156.0,1769
2020-04-10,211.0,1840
2020-04-11,93.0,1041
2020-04-12,22.0,530
2020-04-13,34.0,533
2020-04-14,120.0,1028
2020-04-15,94.0,1287
2020-04-16,95.0,1159
2020-04-17,102.0,1203
2020-04-18,26.0,726
2020-04-19,11.0,377
2020-04-20,92.0,1062
2020-04-21,81.0,992
2020-04-22,80.0,886
2020-04-23,59.0,1149
2020-04-24,50.0,970
2020-04-25,13.0,483
2020-04-26,11.0,217
2020-04-27,55.0,870
2020-04-28,56.0,812
2020-04-29,73.0,975
2020-04-30,57.0,962
2020-05-01,17.0,241
2020-05-02,10.0,278
2020-05-03,3.0,112
2020-05-04,43.0,664
2020-05-05,56.0,703
2020-05-06,51.0,663
2020-05-07,49.0,637
2020-05-08,48.0,611
2020-05-09,15.0,232
2020-05-10,5.0,83
2020-05-11,30.0,425
2020-05-12,27.0,387
2020-05-13,31.0,384
2020-05-14,50.0,343
2020-05-15,44.0,307
2020-05-16,18.0,266
2020-05-17,6.0,81
2020-05-18,32.0,287
2020-05-19,34.0,326
2020-05-20,31.0,340
2020-05-21,18.0,328
2020-05-22,23.0,410
2020-05-23,9.0,153
2020-05-24,1.0,62
2020-05-25,8.0,280
2020-05-26,9.0,307
2020-05-27,11.0,332
2020-05-28,7.0,308
2020-05-29,6.0,213
2020-05-30,1.0,169
2020-05-31,0.0,25
2020-06-01,6.0,229
2020-06-02,0.0,31
2020-06-03,7.0,242
2020-06-04,7.0,236
2020-06-05,8.0,243
2020-06-06,2.0,117
2020-06-07,2.0,33
