date,healthcare_workers,others
2020-08-20,2.0,56
2020-08-21,2.0,72
2020-08-22,0.0,60
2020-08-23,3.0,69
2020-08-24,3.0,72
2020-08-25,2.0,67
2020-08-26,3.0,61
2020-08-27,0.0,49
2020-08-28,1.0,60
2020-08-29,0.0,58
2020-08-30,0.0,51
2020-08-31,2.0,65
2020-09-01,2.0,60
2020-09-02,2.0,50
2020-09-03,3.0,49
2020-09-04,2.0,59
2020-09-05,4.0,49
2020-09-06,1.0,61
2020-09-07,2.0,77
2020-09-08,0.0,52
2020-09-09,1.0,64
2020-09-10,1.0,59
2020-09-11,2.0,45
2020-09-12,2.0,69
2020-09-13,0.0,47
2020-09-14,2.0,58
2020-09-15,4.0,48
2020-09-16,0.0,62
2020-09-17,2.0,55
2020-09-18,1.0,41
2020-09-19,2.0,47
2020-09-20,2.0,36
2020-09-21,2.0,54
2020-09-22,1.0,54
2020-09-23,0.0,47
2020-09-24,3.0,48
2020-09-25,0.0,70
2020-09-26,1.0,67
2020-09-27,1.0,66
2020-09-28,4.0,99
2020-09-29,7.0,102
2020-09-30,4.0,114
2020-10-01,6.0,142
2020-10-02,9.0,146
2020-10-03,7.0,175
2020-10-04,8.0,158
2020-10-05,6.0,242
2020-10-06,9.0,211
2020-10-07,9.0,234
2020-10-08,14.0,232
2020-10-09,15.0,307
2020-10-10,17.0,323
2020-10-11,15.0,293
2020-10-12,22.0,422
2020-10-13,21.0,413
2020-10-14,16.0,476
2020-10-15,24.0,510
2020-10-16,25.0,526
2020-10-17,26.0,575
2020-10-18,31.0,612
2020-10-19,31.0,814
2020-10-20,41.0,948
2020-10-21,27.0,925
2020-10-22,29.0,902
2020-10-23,49.0,967
2020-10-24,33.0,980
2020-10-25,53.0,987
2020-10-26,35.0,1270
2020-10-27,37.0,1084
2020-10-28,33.0,1085
2020-10-29,35.0,974
2020-10-30,40.0,970
2020-10-31,34.0,827
2020-11-01,40.0,1108
2020-11-02,36.0,1367
2020-11-03,32.0,1258
2020-11-04,39.0,1286
2020-11-05,31.0,1186
2020-11-06,39.0,1456
2020-11-07,40.0,1237
2020-11-08,40.0,1105
2020-11-09,49.0,1503
2020-11-10,46.0,1540
2020-11-11,43.0,1225
2020-11-12,49.0,1346
2020-11-13,52.0,1368
2020-11-14,44.0,1281
2020-11-15,48.0,1177
2020-11-16,54.0,1313
2020-11-17,45.0,1399
2020-11-18,43.0,1292
2020-11-19,31.0,945
2020-11-20,47.0,1182
2020-11-21,31.0,965
2020-11-22,39.0,835
2020-11-23,51.0,1100
2020-11-24,47.0,1040
2020-11-25,38.0,939
2020-11-26,57.0,877
2020-11-27,58.0,840
2020-11-28,35.0,702
2020-11-29,44.0,617
2020-11-30,50.0,1076
2020-12-01,52.0,910
2020-12-02,53.0,887
2020-12-03,59.0,806
2020-12-04,43.0,695
2020-12-05,43.0,702
2020-12-06,56.0,616
2020-12-07,49.0,686
2020-12-08,44.0,731
2020-12-09,61.0,739
2020-12-10,56.0,734
2020-12-11,46.0,735
2020-12-12,54.0,750
2020-12-13,59.0,706
2020-12-14,65.0,882
2020-12-15,50.0,796
2020-12-16,52.0,802
2020-12-17,55.0,767
2020-12-18,47.0,783
2020-12-19,55.0,811
2020-12-20,55.0,839
2020-12-21,57.0,991
2020-12-22,58.0,964
2020-12-23,60.0,961
2020-12-24,34.0,1024
2020-12-25,43.0,1012
2020-12-26,39.0,1107
2020-12-27,55.0,1216
2020-12-28,65.0,1397
2020-12-29,46.0,1168
2020-12-30,50.0,1035
2020-12-31,62.0,1030
2021-01-01,48.0,1187
2021-01-02,50.0,1000
2021-01-03,59.0,965
2021-01-04,52.0,1205
2021-01-05,43.0,1006
2021-01-06,49.0,893
2021-01-07,59.0,906
2021-01-08,53.0,839
2021-01-09,42.0,750
2021-01-10,49.0,790
2021-01-11,57.0,819
2021-01-12,42.0,678
2021-01-13,44.0,639
2021-01-14,34.0,642
2021-01-15,39.0,685
2021-01-16,44.0,611
2021-01-17,39.0,587
2021-01-18,49.0,752
2021-01-19,39.0,601
2021-01-20,35.0,689
2021-01-21,29.0,641
2021-01-22,35.0,662
2021-01-23,26.0,682
2021-01-24,15.0,610
2021-01-25,24.0,797
2021-01-26,14.0,679
2021-01-27,22.0,677
2021-01-28,10.0,637
2021-01-29,16.0,650
2021-01-30,14.0,651
2021-01-31,15.0,635
2021-02-01,22.0,934
2021-02-02,18.0,792
2021-02-03,9.0,832
2021-02-04,16.0,767
2021-02-05,14.0,750
2021-02-06,8.0,864
2021-02-07,20.0,744
2021-02-08,20.0,942
2021-02-09,15.0,872
2021-02-10,8.0,951
2021-02-11,15.0,827
2021-02-12,9.0,922
2021-02-13,12.0,895
2021-02-14,8.0,854
2021-02-15,11.0,1106
2021-02-16,10.0,1025
2021-02-17,7.0,1293
2021-02-18,16.0,1250
2021-02-19,14.0,1273
2021-02-20,13.0,1434
2021-02-21,12.0,1375
2021-02-22,11.0,1805
2021-02-23,15.0,1682
2021-02-24,7.0,1797
2021-02-25,8.0,1620
2021-02-26,16.0,1791
2021-02-27,14.0,1715
2021-02-28,13.0,1553
2021-03-01,25.0,2253
2021-03-02,8.0,1860
2021-03-03,22.0,1906
2021-03-04,12.0,1752
2021-03-05,10.0,1895
2021-03-06,9.0,1740
2021-03-07,15.0,1667
2021-03-08,21.0,2099
2021-03-09,14.0,1770
2021-03-10,14.0,1823
2021-03-11,14.0,1541
2021-03-12,16.0,1611
2021-03-13,17.0,1500
2021-03-14,6.0,1339
2021-03-15,13.0,1720
2021-03-16,16.0,1338
2021-03-17,12.0,1427
2021-03-18,4.0,1204
2021-03-19,12.0,1307
2021-03-20,12.0,1252
2021-03-21,8.0,1071
2021-03-22,11.0,1317
2021-03-23,6.0,1200
2021-03-24,17.0,1122
2021-03-25,13.0,1217
2021-03-26,5.0,1077
2021-03-27,8.0,1105
2021-03-28,8.0,959
2021-03-29,13.0,1054
2021-03-30,6.0,909
2021-03-31,3.0,776
2021-04-01,7.0,863
2021-04-02,8.0,807
2021-04-03,6.0,690
2021-04-04,4.0,670
2021-04-05,2.0,645
2021-04-06,7.0,652
2021-04-07,6.0,687
2021-04-08,1.0,705
2021-04-09,5.0,623
2021-04-10,5.0,679
2021-04-11,7.0,608
2021-04-12,7.0,630
2021-04-13,1.0,577
2021-04-14,9.0,552
2021-04-15,3.0,514
2021-04-16,4.0,588
2021-04-17,8.0,588
2021-04-18,4.0,516
2021-04-19,6.0,736
2021-04-20,7.0,631
2021-04-21,5.0,577
2021-04-22,8.0,582
2021-04-23,4.0,606
2021-04-24,2.0,639
2021-04-25,5.0,512
2021-04-26,2.0,637
2021-04-27,6.0,534
2021-04-28,6.0,570
2021-04-29,3.0,458
2021-04-30,4.0,474
2021-05-01,1.0,507
2021-05-02,4.0,421
2021-05-03,4.0,495
2021-05-04,3.0,373
2021-05-05,4.0,444
2021-05-06,2.0,386
2021-05-07,3.0,369
2021-05-08,6.0,303
2021-05-09,1.0,287
2021-05-10,5.0,371
2021-05-11,1.0,304
2021-05-12,1.0,253
2021-05-13,0.0,244
2021-05-14,1.0,209
2021-05-15,1.0,279
2021-05-16,1.0,222
2021-05-17,1.0,253
2021-05-18,0.0,213
2021-05-19,3.0,166
2021-05-20,1.0,152
2021-05-21,2.0,159
2021-05-22,0.0,151
2021-05-23,0.0,126
2021-05-24,0.0,177
2021-05-25,3.0,132
2021-05-26,0.0,118
2021-05-27,2.0,119
2021-05-28,0.0,121
2021-05-29,1.0,105
2021-05-30,3.0,105
2021-05-31,1.0,95
2021-06-01,0.0,110
2021-06-02,1.0,93
2021-06-03,0.0,83
2021-06-04,0.0,75
2021-06-05,0.0,95
2021-06-06,1.0,84
2021-06-07,1.0,79
2021-06-08,2.0,71
2021-06-09,2.0,73
2021-06-10,1.0,66
2021-06-11,0.0,55
2021-06-12,1.0,43
2021-06-13,1.0,46
2021-06-14,2.0,50
2021-06-15,0.0,40
2021-06-16,0.0,37
2021-06-17,0.0,42
2021-06-18,0.0,44
2021-06-19,2.0,33
2021-06-20,1.0,36
2021-06-21,0.0,46
2021-06-22,1.0,39
2021-06-23,0.0,47
2021-06-24,1.0,37
2021-06-25,0.0,22
2021-06-26,0.0,31
2021-06-27,1.0,34
2021-06-28,0.0,27
2021-06-29,0.0,34
2021-06-30,1.0,65
2021-07-01,1.0,53
2021-07-02,0.0,48
2021-07-03,0.0,68
2021-07-04,0.0,63
2021-07-05,1.0,82
2021-07-06,0.0,62
2021-07-07,0.0,88
2021-07-08,0.0,90
2021-07-09,4.0,92
2021-07-10,1.0,111
2021-07-11,0.0,135
2021-07-12,0.0,167
2021-07-13,0.0,182
2021-07-14,2.0,267
2021-07-15,5.0,275
2021-07-16,2.0,268
2021-07-17,3.0,279
2021-07-18,5.0,303
2021-07-19,5.0,365
2021-07-20,2.0,414
2021-07-21,14.0,427
2021-07-22,10.0,332
2021-07-23,6.0,310
2021-07-24,8.0,366
2021-07-25,7.0,334
2021-07-26,6.0,494
2021-07-27,7.0,515
2021-07-28,7.0,441
2021-07-29,5.0,412
2021-07-30,10.0,410
2021-07-31,9.0,385
2021-08-01,5.0,441
2021-08-02,10.0,472
2021-08-03,7.0,480
2021-08-04,11.0,486
2021-08-05,10.0,439
2021-08-06,6.0,400
2021-08-07,2.0,394
2021-08-08,7.0,353
2021-08-09,8.0,453
2021-08-10,2.0,452
2021-08-11,5.0,400
2021-08-12,8.0,434
2021-08-13,4.0,382
2021-08-14,7.0,387
2021-08-15,8.0,374
2021-08-16,8.0,413
2021-08-17,5.0,423
2021-08-18,12.0,411
2021-08-19,11.0,441
2021-08-20,8.0,385
2021-08-21,11.0,348
2021-08-22,6.0,390
2021-08-23,11.0,460
2021-08-24,11.0,409
2021-08-25,5.0,410
2021-08-26,7.0,306
2021-08-27,10.0,331
2021-08-28,4.0,311
2021-08-29,4.0,294
2021-08-30,14.0,399
2021-08-31,3.0,335
2021-09-01,7.0,369
2021-09-02,8.0,292
2021-09-03,3.0,295
2021-09-04,9.0,301
2021-09-05,3.0,294
2021-09-06,8.0,358
2021-09-07,8.0,307
2021-09-08,11.0,290
2021-09-09,7.0,250
2021-09-10,5.0,212
2021-09-11,3.0,203
2021-09-12,3.0,224
2021-09-13,9.0,303
2021-09-14,4.0,224
2021-09-15,8.0,221
2021-09-16,6.0,189
2021-09-17,4.0,209
2021-09-18,1.0,212
2021-09-19,4.0,212
2021-09-20,4.0,216
2021-09-21,2.0,185
2021-09-22,5.0,216
2021-09-23,6.0,226
2021-09-24,5.0,195
2021-09-25,4.0,194
2021-09-26,5.0,150
2021-09-27,9.0,246
2021-09-28,10.0,163
2021-09-29,6.0,182
2021-09-30,3.0,147
2021-10-01,2.0,191
2021-10-02,5.0,126
2021-10-03,7.0,146
2021-10-04,5.0,156
2021-10-05,2.0,144
2021-10-06,8.0,159
2021-10-07,6.0,124
2021-10-08,9.0,105
2021-10-09,8.0,148
2021-10-10,12.0,151
2021-10-11,7.0,177
2021-10-12,5.0,147
2021-10-13,6.0,158
2021-10-14,6.0,181
2021-10-15,5.0,159
2021-10-16,12.0,158
2021-10-17,6.0,203
2021-10-18,7.0,212
2021-10-19,12.0,234
2021-10-20,8.0,261
2021-10-21,10.0,234
2021-10-22,7.0,244
2021-10-23,12.0,254
2021-10-24,4.0,244
2021-10-25,6.0,268
2021-10-26,10.0,274
2021-10-27,18.0,254
2021-10-28,11.0,266
2021-10-29,9.0,247
2021-10-30,8.0,274
2021-10-31,9.0,244
2021-11-01,13.0,369
2021-11-02,16.0,356
2021-11-03,12.0,429
2021-11-04,12.0,379
2021-11-05,8.0,383
2021-11-06,9.0,365
2021-11-07,19.0,403
2021-11-08,12.0,483
2021-11-09,17.0,488
2021-11-10,13.0,504
2021-11-11,17.0,468
2021-11-12,13.0,500
2021-11-13,18.0,504
2021-11-14,14.0,552
2021-11-15,21.0,709
2021-11-16,16.0,706
2021-11-17,19.0,791
2021-11-18,29.0,724
2021-11-19,17.0,736
2021-11-20,16.0,784
2021-11-21,16.0,681
2021-11-22,16.0,866
2021-11-23,17.0,753
2021-11-24,9.0,765
2021-11-25,9.0,672
2021-11-26,7.0,733
2021-11-27,10.0,748
2021-11-28,6.0,637
2021-11-29,9.0,657
2021-11-30,10.0,567
2021-12-01,8.0,464
2021-12-02,4.0,216
2020-01-28,,1
2020-01-29,,1
2020-01-30,,1
2021-12-03,,63
2021-12-04,,14
